curso,opcion,dia,hora,tipo,turno
Taller de Narrativa I,opcion_A,Martes,11:00-13:00,Teórico,mañana
Taller de Narrativa I,opcion_A,Lunes,18:00-22:00,Práctico,noche
Taller de Narrativa I,opcion_B,Martes,11:00-13:00,Teórico,mañana
Taller de Narrativa I,opcion_B,Martes,14:00-18:00,Práctico,tarde
Taller de Narrativa I,opcion_C,Martes,11:00-13:00,Teórico,mañana
Taller de Narrativa I,opcion_C,Miércoles,14:00-18:00,Práctico,tarde
Taller de Narrativa I,opcion_D,Martes,11:00-13:00,Teórico,mañana
Taller de Narrativa I,opcion_D,Miércoles,18:00-22:00,Práctico,noche
Taller de Narrativa I,opcion_E,Martes,11:00-13:00,Teórico,mañana
Taller de Narrativa I,opcion_E,Jueves,09:00-13:00,Práctico,mañana
Taller de Narrativa I,opcion_F,Martes,11:00-13:00,Teórico,mañana
Taller de Narrativa I,opcion_F,Viernes,09:00-13:00,Práctico,mañana
Taller de Narrativa I,opcion_G,Martes,18:30-20:30,Teórico,tarde noche
Taller de Narrativa I,opcion_G,Lunes,18:00-22:00,Práctico,noche
Taller de Narrativa I,opcion_H,Martes,18:30-20:30,Teórico,tarde noche
Taller de Narrativa I,opcion_H,Martes,14:00-18:00,Práctico,tarde
Taller de Narrativa I,opcion_I,Martes,18:30-20:30,Teórico,tarde noche
Taller de Narrativa I,opcion_I,Miércoles,14:00-18:00,Práctico,tarde
Taller de Narrativa I,opcion_J,Martes,18:30-20:30,Teórico,tarde noche
Taller de Narrativa I,opcion_J,Miércoles,18:00-22:00,Práctico,noche
Taller de Narrativa I,opcion_K,Martes,18:30-20:30,Teórico,tarde noche
Taller de Narrativa I,opcion_K,Jueves,09:00-13:00,Práctico,mañana
Taller de Narrativa I,opcion_L,Martes,18:30-20:30,Teórico,tarde noche
Taller de Narrativa I,opcion_L,Viernes,09:00-13:00,Práctico,mañana
Taller de Poesía I,opcion_A,Lunes,18:30-20:30,Teórico,tarde noche
Taller de Poesía I,opcion_A,Martes,18:00-22:00,Práctico,noche
Taller de Poesía I,opcion_B,Lunes,18:30-20:30,Teórico,tarde noche
Taller de Poesía I,opcion_B,Miércoles,14:00-18:00,Práctico,tarde
Taller de Poesía I,opcion_C,Lunes,18:30-20:30,Teórico,tarde noche
Taller de Poesía I,opcion_C,Jueves,09:00-13:00,Práctico,mañana
Taller de Poesía I,opcion_D,Lunes,18:30-20:30,Teórico,tarde noche
Taller de Poesía I,opcion_D,Jueves,18:00-22:00,Práctico,noche
Taller de Poesía I,opcion_E,Lunes,18:30-20:30,Teórico,tarde noche
Taller de Poesía I,opcion_E,Viernes,14:00-18:00,Práctico,tarde
Taller de Poesía I,opcion_F,Viernes,09:30-11:30,Teórico,mañana
Taller de Poesía I,opcion_F,Martes,18:00-22:00,Práctico,noche
Taller de Poesía I,opcion_G,Viernes,09:30-11:30,Teórico,mañana
Taller de Poesía I,opcion_G,Miércoles,14:00-18:00,Práctico,tarde
Taller de Poesía I,opcion_H,Viernes,09:30-11:30,Teórico,mañana
Taller de Poesía I,opcion_H,Jueves,09:00-13:00,Práctico,mañana
Taller de Poesía I,opcion_I,Viernes,09:30-11:30,Teórico,mañana
Taller de Poesía I,opcion_I,Jueves,18:00-22:00,Práctico,noche
Taller de Poesía I,opcion_J,Viernes,09:30-11:30,Teórico,mañana
Taller de Poesía I,opcion_J,Viernes,14:00-18:00,Práctico,tarde
Morfología y Sintaxis,opcion_A,Viernes,18:00-22:00,Teórico,noche
Morfología y Sintaxis,opcion_A,Martes,14:00-16:00,Práctico,tarde
Morfología y Sintaxis,opcion_B,Viernes,18:00-22:00,Teórico,noche
Morfología y Sintaxis,opcion_B,Martes,16:00-18:00,Práctico,tarde
Morfología y Sintaxis,opcion_C,Viernes,18:00-22:00,Teórico,noche
Morfología y Sintaxis,opcion_C,Miércoles,18:00-20:00,Práctico,tarde noche
Morfología y Sintaxis,opcion_D,Viernes,18:00-22:00,Teórico,noche
Morfología y Sintaxis,opcion_D,Miércoles,20:00-22:00,Práctico,noche
Morfología y Sintaxis,opcion_E,Viernes,18:00-22:00,Teórico,noche
Morfología y Sintaxis,opcion_E,Lunes,10:00-12:00,Práctico,mañana
Morfología y Sintaxis,opcion_F,Viernes,18:00-22:00,Teórico,noche
Morfología y Sintaxis,opcion_F,Lunes,12:00-14:00,Práctico,mañana tarde
Teoría y Análisis de las Artes de la Escritura,opcion_A,Miércoles,11:00-13:00,Teórico,mañana
Teoría y Análisis de las Artes de la Escritura,opcion_A,Miércoles,09:00-11:00,Práctico,mañana
Teoría y Análisis de las Artes de la Escritura,opcion_B,Miércoles,11:00-13:00,Teórico,mañana
Teoría y Análisis de las Artes de la Escritura,opcion_B,Miércoles,18:00-20:00,Práctico,tarde noche
Teoría y Análisis de las Artes de la Escritura,opcion_C,Miércoles,20:00-22:00,Teórico,noche
Teoría y Análisis de las Artes de la Escritura,opcion_C,Miércoles,09:00-11:00,Práctico,mañana
Teoría y Análisis de las Artes de la Escritura,opcion_D,Miércoles,20:00-22:00,Teórico,noche
Teoría y Análisis de las Artes de la Escritura,opcion_D,Miércoles,18:00-20:00,Práctico,tarde noche
Narrativa Argentina I,opcion_A,Jueves,18:00-20:00,Teórico,tarde noche
Narrativa Argentina I,opcion_A,Miércoles,16:00-18:00,Práctico,tarde
Narrativa Argentina I,opcion_B,Jueves,18:00-20:00,Teórico,tarde noche
Narrativa Argentina I,opcion_B,Miércoles,18:00-20:00,Práctico,tarde noche
Narrativa Argentina I,opcion_C,Jueves,18:00-20:00,Teórico,tarde noche
Narrativa Argentina I,opcion_C,Martes,14:00-16:00,Práctico,tarde
Narrativa Argentina I,opcion_D,Jueves,18:00-20:00,Teórico,tarde noche
Narrativa Argentina I,opcion_D,Martes,16:00-18:00,Práctico,tarde
Narrativa Latinoamericana I,opcion_A,Jueves,18:00-20:00,Teórico,tarde noche
Narrativa Latinoamericana I,opcion_A,Jueves,11:00-13:00,Práctico,mañana
Narrativa Latinoamericana I,opcion_B,Jueves,18:00-20:00,Teórico,tarde noche
Narrativa Latinoamericana I,opcion_B,Jueves,14:00-16:00,Práctico,tarde
Narrativa Latinoamericana I,opcion_C,Jueves,18:00-20:00,Teórico,tarde noche
Narrativa Latinoamericana I,opcion_C,Jueves,16:00-18:00,Práctico,tarde
Narrativa Latinoamericana I,opcion_D,Jueves,18:00-20:00,Teórico,tarde noche
Narrativa Latinoamericana I,opcion_D,Jueves,20:00-22:00,Práctico,noche
Poesía Universal I,opcion_A,Miércoles,18:00-20:00,Teórico,tarde noche
Poesía Universal I,opcion_A,Martes,15:00-17:00,Práctico,tarde
Poesía Universal I,opcion_B,Miércoles,18:00-20:00,Teórico,tarde noche
Poesía Universal I,opcion_B,Martes,17:00-19:00,Práctico,tarde noche
Poesía Universal I,opcion_C,Miércoles,18:00-20:00,Teórico,tarde noche
Poesía Universal I,opcion_C,Miércoles,14:00-16:00,Práctico,tarde
Poesía Universal I,opcion_D,Miércoles,18:00-20:00,Teórico,tarde noche
Poesía Universal I,opcion_D,Miércoles,16:00-18:00,Práctico,tarde
Taller de Narrativa II,A,Martes,11:00-13:00,Teórico,mañana
Taller de Narrativa II,A,Miércoles,14:00-18:00,Práctico,tarde
